RunNumber,AlignmentRun,GearFile,BeamEnergy,dut_chip,dut_gain,dut_gain_type,dut_conversion,ref_chip,ref_gain,ref_gain_type,dut_align_x,dut_align_y,dut_pos_z,dut_tilt,dut_turn,dut_rot,ref_align_x,ref_align_y,ref_pos_z,ref_rot,skipdut,skipref,skiptel

# CHIP 504
# Testbeam March 2016

23518,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53678611,-0.629957134,48.7519391,19.3972171,0.018375175,-0.00557079996,-2.5999999,-0.800000012,40,0,0,0,0
23519,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236506,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53479,-0.629155,48.6868,19.3976,0.000270739,-0.00565974,-2.6,-0.8,40,0,0,0,0
23520,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236189,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53393,-0.6287,48.592,19.3992,-0.00394176,-0.00567882,-2.6,-0.8,40,0,0,0,0
23521,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235867,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.5338,-0.628499,48.6011,19.3939,-0.00080465,-0.00567208,-2.6,-0.8,40,0,0,0,0
23522,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235955,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53358,-0.628374,48.6134,19.3963,0.00670675,-0.00565207,-2.6,-0.8,40,0,0,0,0
23523,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236177,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.5335,-0.628251,48.6526,19.3964,0.0129726,-0.00566564,-2.6,-0.8,40,0,0,0,0
23524,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235949,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53334,-0.628135,48.6651,19.3955,0.00977176,-0.00567424,-2.6,-0.8,40,0,0,0,0
23525,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235956,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53239,-0.627791,48.6151,19.3963,-0.000627732,-0.0056727,-2.6,-0.8,40,0,0,0,0
23526,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236154,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53155,-0.627685,48.5449,19.397,0.0021109,-0.00568404,-2.6,-0.8,40,0,0,0,0
23527,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.23601,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53155,-0.62788,48.5937,19.3994,-0.00364181,-0.005691,-2.6,-0.8,40,0,0,0,0
23528,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.2362,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53165,-0.627852,48.6507,19.3946,0.00160617,-0.00570279,-2.6,-0.8,40,0,0,0,0
23529,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236136,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53144,-0.627773,48.711,19.3949,0.00544782,-0.00569892,-2.6,-0.8,40,0,0,0,0
23530,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235819,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53213,-0.627657,48.6708,19.3955,0.00868881,-0.00568325,-2.6,-0.8,40,0,0,0,0
23531,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236315,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.5318,-0.62746,48.6312,19.3951,-0.00722679,-0.00567237,-2.6,-0.8,40,0,0,0,0
23532,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236635,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53128,-0.627438,48.5552,19.3964,-0.00939921,-0.00566359,-2.6,-0.8,40,0,0,0,0
23533,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236486,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53082,-0.627478,48.7479,19.3953,0.0111954,-0.00569882,-2.6,-0.8,40,0,0,0,0
23534,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236562,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.5309,-0.627481,48.6325,19.3941,-0.00285371,-0.00566271,-2.6,-0.8,40,0,0,0,0
23535,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236051,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53105,-0.627241,48.6215,19.3968,0.00367929,-0.00568856,-2.6,-0.8,40,0,0,0,0
23536,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235857,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53148,-0.62729,48.6501,19.3988,0.0172726,-0.00567438,-2.6,-0.8,40,0,0,0,0
23537,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236121,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53139,-0.627032,48.7112,19.3932,0.0164137,-0.0056983,-2.6,-0.8,40,0,0,0,0
23538,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236209,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53016,-0.626852,48.578,19.3902,-0.00512803,-0.00568856,-2.6,-0.8,40,0,0,0,0
23539,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236097,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.52892,-0.626985,48.5655,19.3953,0.0095733,-0.00569326,-2.6,-0.8,40,0,0,0,0
