RunNumber,AlignmentRun,GearFile,BeamEnergy,dut_chip,dut_gain,dut_gain_type,dut_conversion,ref_chip,ref_gain,ref_gain_type,dut_align_x,dut_align_y,dut_pos_z,dut_tilt,dut_turn,dut_rot,ref_align_x,ref_align_y,ref_pos_z,ref_rot,skipdut,skipref,skiptel

20399,020416,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim80tb-nochiller-gaincal.dat,desy_weibull_decorr_pos,0.251865,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.520297,-0.602592,42.9286,39.5482,0.14064,0.0145783,0.555155,-0.042747,40,0,0,0,0
20400,020416,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim80tb-nochiller-gaincal.dat,desy_weibull_decorr_pos,0.251865,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.518671,-0.535982,42.8906,37.5919,0.129155,0.0143705,0.555186,-0.0429609,40,0,0,0,0
20401,020416,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim80tb-nochiller-gaincal.dat,desy_weibull_decorr_pos,0.251865,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.5179,-0.473236,42.7781,35.5927,0.129674,0.0141726,0.555181,-0.0432254,40,0,0,0,0
20402,020416,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim80tb-nochiller-gaincal.dat,desy_weibull_decorr_pos,0.251865,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.517486,-0.415602,42.9365,33.6118,0.131115,0.0139707,0.555182,-0.043165,40,0,0,0,0
20403,020416,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim80tb-nochiller-gaincal.dat,desy_weibull_decorr_pos,0.251865,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.517251,-0.362029,42.828,31.6143,0.132517,0.0138125,0.555295,-0.0433817,40,0,0,0,0
20404,020416,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim80tb-nochiller-gaincal.dat,desy_weibull_decorr_pos,0.251865,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.516633,-0.312783,42.9754,29.6019,0.134111,0.0136516,0.555361,-0.0432248,40,0,0,0,0
20405,020416,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim80tb-nochiller-gaincal.dat,desy_weibull_decorr_pos,0.251865,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.514869,-0.267282,42.8082,27.6028,0.139115,0.0134643,0.555252,-0.0432689,40,0,0,0,0
20406,020416,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim80tb-nochiller-gaincal.dat,desy_weibull_decorr_pos,0.251865,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.513718,-0.225205,42.8311,25.6128,0.138043,0.0132866,0.555328,-0.043261,40,0,0,0,0
20407,020416,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim80tb-nochiller-gaincal.dat,desy_weibull_decorr_pos,0.251865,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.512712,-0.185782,42.862,23.6026,0.144662,0.013107,0.555307,-0.0432886,40,0,0,0,0
20408,020416,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim80tb-nochiller-gaincal.dat,desy_weibull_decorr_pos,0.251865,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.511431,-0.148971,42.8343,21.593,0.143338,0.0129107,0.555235,-0.0433227,40,0,0,0,0
