RunNumber,AlignmentRun,GearFile,BeamEnergy,dut_chip,dut_gain,dut_gain_type,dut_conversion,ref_chip,ref_gain,ref_gain_type,dut_align_x,dut_align_y,dut_pos_z,dut_tilt,dut_turn,dut_rot,ref_align_x,ref_align_y,ref_pos_z,ref_rot,skipdut,skipref,skiptel

#20386,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.251046,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.552153,-0.0918598,42.7962,19.4902,0.111943,0.0125102,0.455505,-0.036181,40,0,0,0,0
20387,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim36tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.247145,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.552623,-0.0914975,42.8449,19.4972,0.132766,0.0125599,0.455505,-0.036181,40,0,0,0,0
20388,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim40tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.246877,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.553308,-0.0912482,42.8618,19.4991,0.132369,0.0125421,0.455505,-0.036181,40,0,0,0,0
20389,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim44tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.247479,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.553863,-0.0910808,42.8963,19.4999,0.128579,0.0125545,0.455505,-0.036181,40,0,0,0,0
20390,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim48tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.247997,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.554413,-0.090779,42.8854,19.4983,0.123718,0.0125522,0.455505,-0.036181,40,0,0,0,0
20391,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim52tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.247882,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.555324,-0.0904326,42.8279,19.5,0.108535,0.0125401,0.455505,-0.036181,40,0,0,0,0
20392,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim56tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.248688,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.555608,-0.0903369,42.8805,19.4999,0.140349,0.0125505,0.455505,-0.036181,40,0,0,0,0
20393,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim60tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.248994,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.556042,-0.0899838,42.7493,19.4988,0.140998,0.0125355,0.455505,-0.036181,40,0,0,0,0
20394,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim64tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.249252,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.556956,-0.0898489,42.9045,19.4998,0.147383,0.0125678,0.455505,-0.036181,40,0,0,0,0
20395,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim68tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.249991,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.557462,-0.0893409,42.9393,19.4995,0.129838,0.0125395,0.455505,-0.036181,40,0,0,0,0
20396,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim72tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.250476,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.557691,-0.0884079,42.9151,19.5001,0.14144,0.0125528,0.455505,-0.036181,40,0,0,0,0
20397,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim76tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.250841,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.557917,-0.0874758,42.8529,19.4979,0.119145,0.0125257,0.455505,-0.036181,40,0,0,0,0
20398,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim80tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.251865,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.557921,-0.0869325,42.9466,19.5018,0.126867,0.0125372,0.455505,-0.036181,40,0,0,0,0
