RunNumber,AlignmentRun,GearFile,BeamEnergy,dut_chip,dut_gain,dut_gain_type,dut_conversion,ref_chip,ref_gain,ref_gain_type,dut_align_x,dut_align_y,dut_pos_z,dut_tilt,dut_turn,dut_rot,ref_align_x,ref_align_y,ref_pos_z,ref_rot
# Warning: no blank before dut_gain,ref_gain
# Warning: don''''t start with tilt = 0 or turn = 0 oe rot = 0: MillePede won''''t work (sin(0) = 0)'
# Warning: don''''t start with pos_z = 0: GBL crash when planes overlap'
# 2015 beams:,


# CHIP 504
# FEBRUARY 22
14614,014614,gear_desy2015_02a.xml,5.5999999,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.476004299,-0.940841514,55.2005846,20.0250102,-0.944797404,-0.0094525102,1.55497003,-1.32696998,40,0

14615,014614,gear_desy2015_02a.xml,5.6,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.475035,-0.932718,55.2525,20,0.00001,-0.00411861,1.55599,-1.33074,40,0
14616,014614,gear_desy2015_02a.xml,5.6,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.475039,-0.931019,55.2525,20,0.00001,-0.00411861,1.56002,-1.32841,40,0
14617,014614,gear_desy2015_02a.xml,5.6,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.475065,-0.931336,55.2525,20,0.00001,-0.00411861,1.55975,-1.33097,40,0
14618,014614,gear_desy2015_02a.xml,5.6,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.475103,-0.930277,55.2525,20,0.00001,-0.00411861,1.63821,-1.32798,40,0
14619,014614,gear_desy2015_02a.xml,5.6,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.475114,-0.930305,55.2525,20,0.00001,-0.00411861,1.56157,-1.32825,40,0
14620,014614,gear_desy2015_02a.xml,5.6,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.524642,-0.930179,55.2525,20,0.00001,-0.00411861,1.56282,-1.32664,40,0
14621,014614,gear_desy2015_02a.xml,5.6,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.475071,-0.931089,55.2525,20,0.00001,-0.00411861,1.56326,-1.32902,40,0

14622,014614,gear_desy2015_02a.xml,5.6,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.481361,-0.937511,55.3805,20.0321,-0.929098,-0.00951231,1.56273,-1.32908,40,0
14623,014614,gear_desy2015_02a.xml,5.6,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.480899,-0.93574,55.3392,20.0337,-0.916837,-0.00948521,1.56153,-1.32802,40,0
14624,014614,gear_desy2015_02a.xml,5.6,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.479809,-0.934158,55.3127,20.0367,-0.921994,-0.00949711,1.56069,-1.32928,40,0
14625,014614,gear_desy2015_02a.xml,5.6,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.47906,-0.934168,55.246,20.0397,-0.922567,-0.00950961,1.56166,-1.32677,40,0
14626,014614,gear_desy2015_02a.xml,5.6,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.479037,-0.934743,55.2972,20.0391,-0.924916,-0.00952341,1.63843,-1.32775,40,0
14627,014614,gear_desy2015_02a.xml,5.6,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.477934,-0.93455,55.3381,20.034,-0.92228,-0.00950361,1.63903,-1.32988,40,0
14628,014614,gear_desy2015_02a.xml,5.6,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.478197,-0.933767,55.2243,20.0354,-0.92927,-0.00949561,1.56239,-1.27292,40,0
14629,014614,gear_desy2015_02a.xml,5.6,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.478858,-0.933928,55.3652,20.0372,-0.915061,-0.00947391,1.63711,-1.32957,40,0
