RunNumber,AlignmentRun,GearFile,BeamEnergy,dut_chip,dut_gain,dut_gain_type,dut_conversion,ref_chip,ref_gain,ref_gain_type,dut_align_x,dut_align_y,dut_pos_z,dut_tilt,dut_turn,dut_rot,ref_align_x,ref_align_y,ref_pos_z,ref_rot,skipdut,skipref,skiptel
# Warning: no blank before dut_gain,ref_gain
# Warning: don''''t start with tilt = 0 or turn = 0 oe rot = 0: MillePede won''''t work (sin(0) = 0)'
# Warning: don''''t start with pos_z = 0: GBL crash when planes overlap'
# 2015 beams:,

# FEBRUARY 24
#14686,014686,gear_desy2015_02b.xml,5.6,506,c506-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,23,0.00001,-0.00411861,-1,-0.1,40,0,0,0,0
#14688,014686,gear_desy2015_02b.xml,5.6,506,c506-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,23,0.00001,-0.00411861,-1,-0.1,40,0,0,0,0

#14689,014686,gear_desy2015_02b.xml,5.6,506,c506-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,19,0.00001,-0.00411861,-1,-0.1,40,0,0,0,0
#14690,014686,gear_desy2015_02b.xml,5.6,506,c506-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,19,0.00001,-0.00411861,-1,-0.1,40,0,0,0,0
#14691,014686,gear_desy2015_02b.xml,5.6,506,c506-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,19,0.00001,-0.00411861,-1,-0.1,40,0,0,0,0
#14693,014686,gear_desy2015_02b.xml,5.6,506,c506-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,19,0.00001,-0.00411861,-1,-0.1,40,0,0,0,0

#14694,014686,gear_desy2015_02b.xml,5.6,506,c506-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,18,0.00001,-0.00411861,-1,-0.1,40,0,0,0,0
#14695,014686,gear_desy2015_02b.xml,5.6,506,c506-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,18,0.00001,-0.00411861,-1,-0.1,40,0,0,0,0
#14696,014686,gear_desy2015_02b.xml,5.6,506,c506-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,18,0.00001,-0.00411861,-1,-0.1,40,0,0,0,0

#14697,014686,gear_desy2015_02b.xml,5.6,506,c506-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.28549,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-0.780257,-0.553774,65.8867,16.0304,-0.437407,-0.00930894,-0.239569,-1.14689,40,0,1,1,0
#14698,014686,gear_desy2015_02b.xml,5.6,506,c506-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.286112,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-0.780322,-0.553955,66.4536,16.0127,-0.428035,-0.0093094,-0.239469,-1.14644,40,0,1,1,0
14699,014686,gear_desy2015_02b.xml,5.6,506,c506-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.286675,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-0.784313,-0.553732,66.5954,14.0841,-0.406008,-0.00917463,-0.239673,-1.14652,40,0,1,1,0
14700,014686,gear_desy2015_02b.xml,5.6,506,c506-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.286165,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-0.784015,-0.553481,66.4141,14.0545,-0.390975,-0.00912489,-0.239487,-1.14661,40,0,1,1,0
14701,014686,gear_desy2015_02b.xml,5.6,506,c506-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.288461,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-0.783567,-0.550588,65.8389,10.0534,-0.294571,-0.00904122,-0.239429,-1.14617,40,0,1,1,0
14702,014686,gear_desy2015_02b.xml,5.6,506,c506-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.288238,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-0.783606,-0.550461,66.0145,10.0835,-0.389986,-0.00903988,-0.239332,-1.14657,40,0,1,1,0
