tilt,par0,par1,par2,par3
0.0269084,0.896554,-466.639,11.4287,42353.2
0.0907779,1.03851,-407.741,-238.235,36116
0.0974764,0.723408,-423.777,-96.4298,38651.3
0.225882,0.941837,-445.298,-44.1888,39967.1
0.334196,2.04207,-425.283,-492.246,38359.6
2.91484,1.05838,-343.423,-183.869,26719.2
2.96288,1.1397,-391.223,-310.173,33235.9
2.98722,1.94053,-313.665,-393.493,22675.3
4.51947,1.39407,-305.052,-393.8,23119.2
4.97518,1.24903,-308.559,-159.964,21200.1
4.9814,1.21441,-337.427,-360.476,25181.5
5.51652,0.952128,-279.166,-183.508,18747.3
6.55101,0.793955,-248.345,-27.4975,15887.7
7.57211,0.633632,-209.025,-25.8709,10448.3
9.60164,0.651009,-164.472,-108.035,6156.24
10.622,0.532372,-145.239,-63.8621,5070.27
11.6139,0.042735,-149.263,84.3122,6646.12
12.6325,0.481441,-117.102,7.441,4075.64
13.6269,0.380361,-110.188,33.9886,4595.61
14.6207,0.525343,-95.2448,18.6104,3348.64
15.6296,0.146142,-65.1989,103.061,1628.73
16.6359,0.187818,-39.7712,62.1104,275.382
17.6421,0.306172,-45.5843,47.2654,2612.89
18.6465,0.0760885,-2.3505,91.406,-480.989
19.6397,0.27571,20.2091,18.9107,-1729.95
20.6339,0.560579,23.0223,33.2597,-144.579
21.6317,0.576444,53.457,18.5516,-1766.64
22.6269,0.852603,63.6829,-29.3735,-1851.73
23.6387,0.900474,81.1018,-33.1881,-3267.12
24.6468,1.25914,101.352,-92.5698,-5071.62
25.6594,1.17468,117.216,-51.8464,-6555.06
26.6604,1.09323,126.082,-53.7061,-8201.87
27.6571,0.992756,121.1,-70.4885,-8704.49
28.6198,1.23771,98.4103,-90.5232,-5531.85
29.644,1.26387,43.6924,-158.675,853.696
30.6208,1.35223,-10.4899,-130.751,5596.03
31.6617,1.08697,-73.1126,-195.166,12464.1
32.6322,0.848499,-116.244,66.9231,18321.6
33.6672,0.926278,-127.13,-175.796,14432.2
34.6337,0.671312,-106.157,358.531,4296.37
35.6527,0.726082,-83.2088,545.665,4849.65
36.6223,1.17762,7.12998,-94.5061,-29308.4
37.6378,1.28484,23.101,-95.6789,-22332
38.6113,1.95675,66.3166,-475.906,-26855.8
39.6416,1.69533,92.2419,-162.332,-28375.9
40.6087,1.53223,80.0437,-402.638,-28846.2
