tilt,par0,par1
0,0.467515,-436.303
1,0.422038,-430.387
2,1.17728,-414.998
3,0.843107,-406.455
4,0.86628,-393.202
5,0.70282,-378.497
6,0.760565,-364.715
7,0.607958,-349.238
8,0.505255,-334.532
9,0.426809,-319.11
10,0.451828,-303.962
11,0.478478,-289.077
12,0.362277,-273.619
13,0.334231,-257.326
14,0.366202,-241.834
15,0.376959,-225.93
16,0.281752,-208.778
17,0.323827,-192.385
18,0.268312,-174.417
19,0.226649,-157.731
20,0.301233,-141.211
21,0.264334,-121.92
22,0.245573,-102.879
23,0.26232,-84.4972
24,0.258138,-65.1862
25,0.200014,-45.1995
26,0.214306,-24.9088
27,0.270179,-3.5812
28,0.278119,16.4737
29,0.291775,37.8369
30,0.263613,54.1522
31,0.372196,66.7592
32,0.322225,77.9144
33,0.354902,83.0876
34,0.270858,85.7845
35,0.392302,84.1984
36,0.346867,78.2621
37,0.290375,66.1492
38,0.320675,48.343
39,0.358862,17.5224
40,0.449907,-28.5638
41,0.369302,-93.6351
42,0.313439,-164.871
43,0.362051,-215.529
44,0.420125,-220.884
45,0.415852,-194.446
46,0.459322,-143.221
47,0.484486,-82.3553
48,0.424697,-49.0927
49,0.393162,-41.3844
50,0.501681,-49.2804
51,0.359631,-78.0611
52,0.548589,-126.416
53,0.324723,-213.442
54,0.412334,-323.867
55,0.450363,-434.472
56,0.42839,-476.32
57,0.405798,-415.056
58,0.455352,-324.96
59,0.474634,-295.431
60,0.46622,-325.465
61,0.486219,-401.799
62,0.405571,-529.329
63,0.510666,-627.504
64,0.468481,-595.391
65,0.493137,-509.502
66,0.429278,-524.085
67,0.465187,-631.987
68,0.37783,-728.072
69,0.449124,-668.33
70,0.38487,-653.358
71,0.260622,-764.953
72,0.404678,-760.883
73,0.407621,-752.014
74,0.736186,-808.663
75,0.371038,-808.536
76,0.495495,-880.614
77,0.211446,-853.378
78,0.383137,-870.035
79,0.258118,-888.596
80,0.182026,-871.082
81,0.157518,-897.317
82,0.134922,-877.099
83,0.0751476,-833.102
84,0.182957,-816.972
85,0.236154,-741.854
