tilt,par0,par1,par2,par3
0,1.02404,-419.458,-101.91,-1555.66
1,0.895539,-414.627,-100.583,-1654.31
2,1.09102,-378.622,-46.4677,-3959.67
3,0.869243,-388.555,-24.5151,-1638.94
4,1.12565,-367.479,-58.3111,-2517.15
5,0.754795,-360.062,-33.0166,-1739.42
6,0.879768,-339.22,-44.4372,-2514.62
7,0.670193,-328.483,-30.8209,-2140.12
8,0.588113,-323.894,-28.7853,-895.578
9,0.587302,-312.844,-26.2667,-533.463
10,0.609533,-298.031,-38.0073,-331.817
11,0.696428,-285.153,-49.8904,-65.7071
12,0.59786,-270.27,-36.5472,0.68602
13,0.42208,-259.282,-12.5714,706.9
14,0.533544,-245.474,-31.9884,886.285
15,0.430472,-233.89,-21.6314,1514.77
16,0.477162,-219.283,-35.8495,1627.18
17,0.459455,-205.383,-23.46,1967.26
18,0.397271,-186.964,-17.0279,1829.6
19,0.341906,-171.4,-21.108,1999.86
20,0.470218,-151.994,-26.1451,1793.87
21,0.391619,-134.194,-14.6804,1836.51
22,0.458868,-117.012,-21.7539,2005.39
23,0.40534,-96.4413,-13.9813,1701.47
24,0.340929,-75.7066,-13.465,1495.84
25,0.290937,-54.4765,-6.08871,1296.96
26,0.388376,-36.7667,-17.397,1417.92
27,0.316719,-7.23569,0.551843,316.224
28,0.34641,12.3851,-11.1388,437.283
29,0.400935,33.3753,-19.2989,478.664
30,0.379897,46.8231,-10.7724,1170.39
31,0.45032,53.6103,-15.6148,2231.65
32,0.477296,60.4325,-21.0218,2797.84
33,0.476131,84.1346,-24.9276,611.926
34,0.34276,104.946,-8.07306,-1523.55
35,0.481164,124.791,-19.3104,-4180.56
36,0.341697,135.322,4.87452,-6509.32
37,0.327751,124.137,2.88116,-6628.64
38,0.391182,99.3672,-15.3029,-5472.59
39,0.411141,36.6782,2.47905,504.005
40,0.41972,-41.677,7.59381,8230.49
41,0.475517,-117.24,10.3171,13166.4
42,0.360755,-179.106,58.973,15239.3
43,0.367872,-192.534,28.9819,3130.09
44,0.397587,-162.565,63.34,-18630.3
45,0.376026,-97.4319,64.3587,-39140.7
46,0.442592,-16.7385,46.8572,-49926.6
47,0.481445,63.8552,35.7172,-54036.6
48,0.336558,133.134,43.2712,-56485.2
49,0.476167,161.88,1.97468,-53915.3
50,0.518802,150.106,-7.0145,-48219.9
51,0.458315,100.569,-40.2771,-39994
52,0.598695,16.2063,-71.0338,-28464.6
53,0.398103,-131.822,3.01195,-11226.4
54,0.572407,-305.668,-28.7927,8933.19
55,0.490985,-441.968,-9.43879,18092.8
56,0.54935,-479.877,-31.1825,10721.6
57,0.386422,-385.014,36.2219,-12355.2
58,0.557413,-238.419,-40.8576,-33169
59,0.566247,-157.91,-18.731,-38986.6
60,0.607515,-216.539,-36.0146,-24304.4
61,0.563953,-352.458,-60.8388,-3808.47
62,0.539293,-545.502,-55.9659,20882.1
63,0.584665,-673.744,-13.6045,29687.6
64,0.579866,-603.087,23.4911,6973.07
65,0.600242,-458.746,-30.4871,-12616.3
66,0.469485,-503.424,-92.1603,2105.12
67,0.576041,-680.075,-12.8728,32566.5
68,0.485659,-812.08,-48.5565,46272.1
69,0.496181,-694.222,6.29505,18422.8
70,0.596246,-693.308,-110.277,28016.6
71,0.550839,-860.63,-233.548,54675.3
72,0.435302,-850.212,92.5,45481.6
73,0.628013,-822.019,-146.688,41565.6
74,0.545729,-980.19,-50.4685,79396.7
75,0.414192,-906.947,20.642,63189.7
76,0.505187,-1003.2,-367.552,81741.8
77,0.407197,-1010.19,-80.2584,97384.7
78,0.348035,-989.521,-24.5379,89613.3
79,0.428636,-1007.26,-24.8271,102964
80,0.394656,-1026.03,4.34362,115105
81,0.318421,-1038.01,179.294,130587
82,-0.0914282,-947.325,905.875,59606.9
83,0.210184,-970.628,-40.4769,132937
84,-0.02749,-892.813,308.365,121575
85,0.0608272,-784.328,-626.161,91106
