tilt,par0,par1
0.18123,0.610617,406.924
0.19624,-0.952351,388.106
5.94694,-0.821934,337.581
5.9908,-0.852489,343.482
10.0534,0.108121,297.183
10.0835,0.324529,290.517
14.0545,0.947679,245.199
14.0841,1.16644,,238.089
14.9875,0.309766,198.754
14.9966,0.351263,200.704
17.009,0.275152,169.846
17.0091,0.405847,166.769
18.0048,0.218982,151.469
18.0242,0.289964,151.524
19.014,0.100012,135.326
19.0172,0.218259,133.91
20.0187,0.0890973,116.784
21.0115,0.033044,99.5008
21.0119,0.140732,98.1641
21.999,0.172175,81.404
22.0085,0.216898,79.0258
23.4598,0.0480247,67.2154
23.4602,0.0809682,66.9132
24.3711,0.0190668,51.2403
24.3713,-0.0033455,51.5788
24.4399,-0.309016,48.6104
24.4428,-0.418982,47.373
24.4519,-0.358155,47.7311
25.2692,0.0138349,33.5434
25.2734,0.0384804,32.5967
25.6965,-0.037462,26.7438
25.7007,0.0342627,26.9156
26.0384,0.0178806,8.40648
26.1248,-0.340096,18.2524
26.1265,-0.413392,17.27
26.1734,-0.0632493,14.7995
26.5999,-0.052428,6.90674
26.6011,-0.0435996,8.85009
26.6012,-0.0414704,7.55665
26.6012,-0.0996465,7.89294
27.0796,-0.120717,-4.50196
27.0801,-0.0697654,-4.5215
27.0805,-0.081592,-5.5752
27.0811,-0.0553762,-4.79157
27.0822,-0.0866979,-3.08291
27.0829,-0.158599,-5.74187
27.0829,-0.115119,-4.19755
27.2587,-0.36712,11.9976
27.4948,-0.112397,-9.10426
27.4949,-0.15287,-10.6111
27.5706,-0.358032,-4.62079
27.8411,-0.432058,-15.6604
27.8476,-0.409382,-16.101
27.9736,-0.0952719,-16.7127
28.3833,-0.165338,-30.3586
28.3851,-0.105202,-29.3903
29.2822,-0.145778,-45.6157
29.2825,-0.12027,-46.1183
29.5708,-0.543663,-49.3299
29.5729,-0.476297,-49.8107
29.5739,-0.536119,-49.2985
29.7643,-0.15011,-53.4537
29.7669,-0.24064,-53.701
30.1758,-0.194599,-61.6096
30.1799,-0.128302,-62.2036
31.3316,-0.475158,-82.3509
31.3333,-0.477875,-83.0171
31.5762,-0.230309,-81.0769
33.0987,-0.481536,-105.994
33.1038,-0.439292,-105.902
33.3824,-0.191818,-99.5873
34.8537,-0.524757,-119.645
34.8582,-0.442787,-119.403
36.6073,-0.449453,-123.497
36.6103,-0.470551,-124.426
36.9355,-0.210025,-102.896
38.37,-0.454526,-111.291
38.3794,-0.407563,-109.692
40.0538,-0.584813,-82.7928
40.0634,-0.533684,-83.8829
40.5237,-0.455046,-44.5877
40.5285,-0.578372,-77.5292
42.5386,-0.639492,17.1021
44.5387,-0.775456,106.437
46.5283,-0.903914,106.221
48.5366,-0.943432,22.3234
50.5331,-1.05055,-8.20956
52.5287,-1.02436,13.2595
53.1163,-1.13923,33.3093
53.1196,-1.02942,39.5853
54.0593,-0.979691,88.4968
54.0633,-1.18145,87.8218
54.5121,-1.35514,114.415
54.9051,-1.11745,159.097
54.9108,-1.07786,162.721
55.8298,-1.30888,262.872
55.8315,-1.29367,268.177
56.5196,-1.49446,313.398
56.7205,-1.41764,364.115
56.7221,-1.35275,359.301
57.632,-1.36881,444.011
57.6322,-1.46938,434.02
57.6342,-1.48785,427.28
58.5245,-1.45291,395.797
58.5251,-1.72356,334.707
58.5256,-1.39546,392.024
59.4271,-1.80666,340.687
59.4294,-1.51671,320.666
59.532,-1.94259,256.462
60.3215,-1.45293,253.525
60.3258,-1.41721,256.077
60.52,-1.98728,226.154
61.2228,-1.72254,264.705
61.2251,-1.77134,284.215
61.5377,-2.15201,270.666
62.1132,-1.87129,312.842
62.1155,-1.84898,313.034
62.5084,-2.05381,352.377
63.0233,-2.09107,435.057
63.0288,-2.21508,436.762
63.5291,-2.55743,504.38
63.9255,-2.4364,,587.731
63.9282,-2.4114,,568.645
64.5103,-2.5861,,580.694
65.5083,-2.84195,541.243
65.7138,-2.44771,607.072
65.7157,-2.30213,594.709
66.5064,-2.35926,502.381
67.5094,-2.76156,580.869
67.5112,-2.64053,577.213
68.4893,-2.6297,,684.802
69.2964,-2.92546,814.938
69.2987,-2.98995,830.462
70.4917,-3.16903,727.134
71.1018,-2.98578,783.209
71.1084,-3.47356,772.102
72.4923,-3.92939,968.512
72.9042,-3.89951,976.552
72.9072,-3.59638,1016.89
74.4828,-3.11374,1047.3
74.7013,-4.27397,1071.1
74.7083,-3.79121,1080.81
76.4585,-3.8954,,1161.79
76.4881,-4.71305,1208.23
76.4898,-4.07729,1193.94
78.2952,-5.15923,1432.62
78.297,-4.91022,1396.21
78.4658,-5.30113,1380.06
79.4047,-5.68923,1502.62
80.0854,-5.89355,1632.42
80.0888,-5.86395,1649.59
80.3576,-6.97251,1801.41
81.3258,-8.12129,1810.43
81.8739,-8.19132,1843.48
81.8796,-3.94832,1574.18
82.9092,-3.58708,1299.05
