tilt,par0,par1
0.0269084,-0.453014,175.707
0.0907779,-0.412677,149.332
0.0974764,-0.206601,155.743
0.225882,-0.394402,160.512
0.334196,-1.05863,164.479
2.91484,-0.705886,156.675
2.96288,-0.512536,160.644
2.98722,-1.35652,154.629
4.51947,-0.299622,150.984
4.97518,-0.550759,150.548
4.9814,-0.416626,162.009
5.51652,-0.381339,150.578
6.55101,-0.952452,136.594
7.57211,-0.402735,131.409
9.60164,-0.21716,115.549
10.622,-0.235647,105.582
11.6139,-0.270432,97.9323
12.6325,-0.356095,84.0203
13.6269,-0.491758,71.0857
14.6207,-0.564427,66.3161
15.6296,-0.58313,49.6873
16.6359,-0.499935,32.4116
17.6421,-0.557005,21.4529
18.6465,-0.499071,1.02795
19.6397,-0.436464,-11.8403
20.6339,-0.745215,-26.3473
21.6317,-0.681854,-44.9973
22.6269,-0.773683,-52.9986
23.6387,-0.747511,-58.6074
24.6468,-0.853059,-65.6764
25.6594,-0.973081,-69.1914
26.6604,-0.918123,-66.6409
27.6571,-0.875744,-63.3396
28.6198,-1.12451,-61.5467
29.644,-1.13171,-44.4665
30.6208,-1.15839,-8.45578
31.6617,-1.01346,33.7719
32.6322,-0.989158,70.5837
33.6672,-0.855895,99.154
34.6337,-0.993983,108.102
35.6527,-1.21671,83.4208
36.6223,-1.22603,68.7834
37.6378,-1.22829,42.5213
38.6113,-1.4982,17.7777
39.6416,-1.72577,6.56499
40.6087,-0.822903,42.1383
